RunSampleID	PathwayID	weightedSum
USDA_RUN12_D12.BAF	path:map00010	10272.034397546895
USDA_RUN12_D12.BAF	path:map00020	3186.5559551559554
USDA_RUN12_D12.BAF	path:map00030	8248.451370851371
USDA_RUN12_D12.BAF	path:map00040	11391.680555555555
USDA_RUN12_D12.BAF	path:map00051	8544.460606060606
USDA_RUN12_D12.BAF	path:map00052	11191.883333333333
USDA_RUN12_D12.BAF	path:map00053	3685.861111111111
USDA_RUN12_D12.BAF	path:map00061	2004.0772727272727
USDA_RUN12_D12.BAF	path:map00071	1236.3446976011603
USDA_RUN12_D12.BAF	path:map00072	184.81453634085213
USDA_RUN12_D12.BAF	path:map00121	797.3333333333334
USDA_RUN12_D12.BAF	path:map00130	1470.1
USDA_RUN12_D12.BAF	path:map00190	16592.874747474747
USDA_RUN12_D12.BAF	path:map00220	3394.0388167388164
USDA_RUN12_D12.BAF	path:map00230	37483.80822510822
USDA_RUN12_D12.BAF	path:map00240	27571.930952380953
USDA_RUN12_D12.BAF	path:map00250	10551.99476911977
USDA_RUN12_D12.BAF	path:map00260	5793.845923520924
USDA_RUN12_D12.BAF	path:map00261	1124.8031746031745
USDA_RUN12_D12.BAF	path:map00270	8091.336976911977
USDA_RUN12_D12.BAF	path:map00280	939.0441772881401
USDA_RUN12_D12.BAF	path:map00281	138.7293523469994
USDA_RUN12_D12.BAF	path:map00290	3267.428571428571
USDA_RUN12_D12.BAF	path:map00300	4112.779365079366
USDA_RUN12_D12.BAF	path:map00310	2689.9125755565383
USDA_RUN12_D12.BAF	path:map00330	5550.068253968254
USDA_RUN12_D12.BAF	path:map00340	2918.2277777777776
USDA_RUN12_D12.BAF	path:map00350	1407.2619921744922
USDA_RUN12_D12.BAF	path:map00360	2330.1012626262627
USDA_RUN12_D12.BAF	path:map00362	1133.0923013862641
USDA_RUN12_D12.BAF	path:map00364	82.9095238095238
USDA_RUN12_D12.BAF	path:map00380	600.3949015638644
USDA_RUN12_D12.BAF	path:map00400	3151.3651515151514
USDA_RUN12_D12.BAF	path:map00401	269.1484848484848
USDA_RUN12_D12.BAF	path:map00410	832.7480392156863
USDA_RUN12_D12.BAF	path:map00430	663.1714285714286
USDA_RUN12_D12.BAF	path:map00440	1533.25
USDA_RUN12_D12.BAF	path:map00450	9032.138095238095
USDA_RUN12_D12.BAF	path:map00460	1334.8333333333333
USDA_RUN12_D12.BAF	path:map00471	1349.4444444444443
USDA_RUN12_D12.BAF	path:map00472	864.6666666666666
USDA_RUN12_D12.BAF	path:map00473	834.25
USDA_RUN12_D12.BAF	path:map00480	2175.700036075036
USDA_RUN12_D12.BAF	path:map00500	19891.190404040404
USDA_RUN12_D12.BAF	path:map00511	5213.375
USDA_RUN12_D12.BAF	path:map00520	17287.23207070707
USDA_RUN12_D12.BAF	path:map00521	2040.2348484848485
USDA_RUN12_D12.BAF	path:map00531	318.75
USDA_RUN12_D12.BAF	path:map00540	3731
USDA_RUN12_D12.BAF	path:map00550	12174.833333333332
USDA_RUN12_D12.BAF	path:map00561	4710.303968253968
USDA_RUN12_D12.BAF	path:map00564	6592.976190476191
USDA_RUN12_D12.BAF	path:map00620	12954.067533343848
USDA_RUN12_D12.BAF	path:map00622	174.79365079365078
USDA_RUN12_D12.BAF	path:map00625	591.6710470085469
USDA_RUN12_D12.BAF	path:map00627	352.3174603174603
USDA_RUN12_D12.BAF	path:map00630	4324.0738825501985
USDA_RUN12_D12.BAF	path:map00633	789.5692307692308
USDA_RUN12_D12.BAF	path:map00640	8333.746200265165
USDA_RUN12_D12.BAF	path:map00643	551.1047619047619
USDA_RUN12_D12.BAF	path:map00650	5841.827982371946
USDA_RUN12_D12.BAF	path:map00660	1361.774603174603
USDA_RUN12_D12.BAF	path:map00670	3068.4785714285713
USDA_RUN12_D12.BAF	path:map00680	3897.849263236763
USDA_RUN12_D12.BAF	path:map00710	3922.4339466089473
USDA_RUN12_D12.BAF	path:map00720	5108.281422232739
USDA_RUN12_D12.BAF	path:map00730	6037.316666666667
USDA_RUN12_D12.BAF	path:map00740	1124.2
USDA_RUN12_D12.BAF	path:map00750	2150.9166666666665
USDA_RUN12_D12.BAF	path:map00760	5486.442857142857
USDA_RUN12_D12.BAF	path:map00770	4786.5976190476185
USDA_RUN12_D12.BAF	path:map00780	2490.4166666666665
USDA_RUN12_D12.BAF	path:map00785	522
USDA_RUN12_D12.BAF	path:map00790	3906.7833333333333
USDA_RUN12_D12.BAF	path:map00791	119.38333333333333
USDA_RUN12_D12.BAF	path:map00860	7388.308333333333
USDA_RUN12_D12.BAF	path:map00900	2756.414536340852
USDA_RUN12_D12.BAF	path:map00903	64.4313725490196
USDA_RUN12_D12.BAF	path:map00910	7430.57453102453
USDA_RUN12_D12.BAF	path:map00920	4815.746428571429
USDA_RUN12_D12.BAF	path:map00930	91.26470588235294
USDA_RUN12_D12.BAF	path:map00960	349.5234848484848
USDA_RUN12_D12.BAF	path:map00970	59792.4
USDA_RUN12_D12.BAF	path:map00983	3998.3615079365077
USDA_RUN12_D12.BAF	path:map01053	1809.3333333333333
USDA_RUN12_D12.BAF	path:map01100	179956.02276675438
USDA_RUN12_D12.BAF	path:map01110	51445.67381570525
USDA_RUN12_D12.BAF	path:map01120	39229.01674222319
USDA_RUN12_D12.BAF	path:map01130	34768.24127602271
USDA_RUN12_D12.BAF	path:map01200	15901.281213862672
USDA_RUN12_D12.BAF	path:map01210	5249.739646464646
USDA_RUN12_D12.BAF	path:map01212	2422.4009233198863
USDA_RUN12_D12.BAF	path:map01230	23260.46323953823
